,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (mm),Total Precip (mm),Winter,Summer,Spring,Fall
676,1940,3,1,-5.2,13.2,351.0,48.3,0.0,0.0,1.0,0.0
1043,2014,5,17,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2510,2015,11,12,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
496,2017,3,14,-10.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0
1091,1982,5,1,14.3,45.1,0.0,45.1,0.0,0.0,1.0,0.0
561,2015,3,11,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1777,2014,8,19,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2302,2014,10,10,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2731,2015,12,20,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2123,1971,9,1,16.9,32.5,0.0,32.5,0.0,0.0,0.0,1.0
662,1954,3,1,-1.2,56.6,203.0,77.0,0.0,0.0,1.0,0.0
565,2015,3,7,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2663,2017,12,26,-14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2807,2013,12,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1285,2014,6,1,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1357,1960,6,1,18.2,55.6,0.0,55.6,0.0,1.0,0.0,0.0
2041,2014,9,11,17.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0
2707,2016,12,13,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
695,2018,4,14,0.0,6.0,40.0,36.0,0.0,0.0,1.0,0.0
2005,2015,9,17,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2400,1955,10,1,11.0,77.0,0.0,77.0,0.0,0.0,0.0,1.0
327,2015,2,17,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
727,2017,4,12,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
849,1993,4,1,6.6,83.8,16.0,85.4,0.0,0.0,1.0,0.0
1023,2015,5,6,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1901,1938,8,1,22.7,37.1,0.0,37.1,0.0,1.0,0.0,0.0
2145,1949,9,1,14.3,90.2,0.0,90.2,0.0,0.0,0.0,1.0
1939,2017,9,23,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
277,2017,2,10,-5.0,0.0,40.0,4.0,1.0,0.0,0.0,0.0
643,1973,3,1,3.2,112.3,89.0,121.2,0.0,0.0,1.0,0.0
1050,2014,5,10,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
228,1940,1,1,-9.4,26.7,216.0,48.3,1.0,0.0,0.0,0.0
2099,1995,9,1,14.0,27.5,0.0,27.5,0.0,0.0,0.0,1.0
2531,2014,11,21,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2116,1978,9,1,14.6,134.3,0.0,134.3,0.0,0.0,0.0,1.0
2658,2017,12,31,-19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1690,2017,8,13,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1134,1939,5,1,13.9,26.4,0.0,26.4,0.0,0.0,1.0,0.0
2364,1991,10,1,10.4,46.3,0.0,46.3,0.0,0.0,0.0,1.0
1915,2018,9,17,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
862,1980,4,1,6.2,111.6,3.0,111.9,0.0,0.0,1.0,0.0
1338,1979,6,1,17.2,71.8,0.0,71.8,0.0,1.0,0.0,0.0
897,1945,4,1,7.7,75.7,74.0,83.1,0.0,0.0,1.0,0.0
1586,1992,7,1,18.0,134.5,0.0,134.5,0.0,1.0,0.0,0.0
1835,2004,8,1,19.5,60.0,0.0,60.0,0.0,1.0,0.0,0.0
1034,2014,5,26,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2055,2013,9,27,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
911,2018,5,25,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119,2015,1,5,-10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
1016,2015,5,13,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1706,2016,8,28,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2783,2013,12,30,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1202,2016,6,24,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1098,1975,5,1,15.5,64.3,0.0,64.3,0.0,0.0,1.0,0.0
1715,2016,8,19,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
994,2016,5,4,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
440,1945,2,1,-6.0,13.2,345.0,47.8,1.0,0.0,0.0,0.0
1036,2014,5,24,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1764,2015,8,1,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1345,1972,6,1,15.6,113.0,0.0,113.0,0.0,1.0,0.0,0.0
1322,1995,6,1,19.9,52.1,0.0,52.1,0.0,1.0,0.0,0.0
1664,2018,8,8,22.0,21.0,0.0,21.0,0.0,1.0,0.0,0.0
1805,2013,8,22,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1435,2017,7,7,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
224,1944,1,1,-2.7,10.4,97.0,20.1,1.0,0.0,0.0,0.0
2394,1961,10,1,12.0,14.7,0.0,14.7,0.0,0.0,0.0,1.0
1273,2014,6,13,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2359,1996,10,1,9.2,75.8,0.0,75.8,0.0,0.0,0.0,1.0
1166,2017,6,30,24.0,13.0,0.0,13.0,0.0,1.0,0.0,0.0
2107,1987,9,1,15.5,108.0,0.0,108.0,0.0,0.0,0.0,1.0
682,2018,4,27,9.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0
882,1960,4,1,7.5,61.7,28.0,64.5,0.0,0.0,1.0,0.0
2417,1938,10,1,9.9,7.1,0.0,7.1,0.0,0.0,0.0,1.0
1061,2012,5,1,16.6,44.4,0.0,44.4,0.0,0.0,1.0,0.0
2295,2014,10,17,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
555,2015,3,17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
681,2018,4,28,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
1867,1972,8,1,18.5,74.9,0.0,74.9,0.0,1.0,0.0,0.0
2422,2018,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1602,1976,7,1,18.6,81.8,0.0,81.8,0.0,1.0,0.0,0.0
1083,1990,5,1,11.6,86.6,0.0,86.6,0.0,0.0,1.0,0.0
444,1941,2,1,-6.2,6.4,246.0,31.0,1.0,0.0,0.0,0.0
1675,2017,8,28,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2755,2014,12,27,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
472,2018,3,7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1854,1985,8,1,19.4,152.5,0.0,152.5,0.0,1.0,0.0,0.0
2056,2013,9,26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1207,2016,6,19,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2501,2015,11,21,4.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0
612,2004,3,1,2.3,51.8,142.0,63.4,0.0,0.0,1.0,0.0
2232,2016,10,18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1598,1980,7,1,20.4,182.3,0.0,182.3,0.0,1.0,0.0,0.0
2459,2017,11,3,7.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
2704,2016,12,16,-9.0,0.0,30.0,3.0,1.0,0.0,0.0,0.0
1193,2017,6,3,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2341,2013,10,2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2050,2014,9,2,20.0,14.0,0.0,14.0,0.0,0.0,0.0,1.0
1415,2017,7,27,23.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0
2468,2016,11,24,3.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0
2796,2013,12,17,-10.0,0.0,30.0,2.0,1.0,0.0,0.0,0.0
607,2009,3,1,0.8,68.0,6.0,68.8,0.0,0.0,1.0,0.0
1755,2015,8,10,19.0,36.0,0.0,36.0,0.0,1.0,0.0,0.0
1429,2017,7,13,19.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
2304,2014,10,8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,1945,1,1,-11.9,0.3,399.0,40.1,1.0,0.0,0.0,0.0
1771,2014,8,25,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
840,2002,4,1,7.3,88.8,122.0,103.2,0.0,0.0,1.0,0.0
1902,2018,9,30,11.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0
428,1957,2,1,-4.0,27.4,307.0,58.2,1.0,0.0,0.0,0.0
513,2016,3,28,6.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0
865,1977,4,1,7.4,69.6,7.0,70.3,0.0,0.0,1.0,0.0
2243,2016,10,7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1958,2017,9,4,20.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0
795,2015,4,4,2.0,0.0,20.0,2.0,0.0,0.0,1.0,0.0
783,2015,4,16,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
343,2015,2,1,-9.0,0.0,70.0,7.0,1.0,0.0,0.0,0.0
305,2016,2,11,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
477,2018,3,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2441,2017,11,21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1913,2018,9,19,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2808,2013,12,5,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
914,2018,5,22,14.0,9.0,0.0,9.0,0.0,0.0,1.0,0.0
2820,2005,12,1,-3.5,20.0,418.0,58.9,1.0,0.0,0.0,0.0
1757,2015,8,8,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1617,1961,7,1,21.1,80.5,0.0,80.5,0.0,1.0,0.0,0.0
261,2017,2,26,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,2018,1,5,-19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,2015,1,7,-14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1793,2014,8,3,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
831,2011,4,1,6.9,93.4,32.0,96.6,0.0,0.0,1.0,0.0
798,2015,4,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1214,2016,6,12,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1750,2015,8,15,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2636,1958,11,1,4.1,50.5,206.0,71.1,0.0,0.0,0.0,1.0
705,2018,4,4,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0
2596,1998,11,1,4.9,33.6,0.0,33.6,0.0,0.0,0.0,1.0
1195,2017,6,1,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1953,2017,9,9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
841,2001,4,1,8.3,35.8,6.0,36.4,0.0,0.0,1.0,0.0
2646,1948,11,1,6.3,80.3,8.0,81.0,0.0,0.0,0.0,1.0
2715,2016,12,5,3.0,0.0,30.0,3.0,1.0,0.0,0.0,0.0
2256,2015,10,25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2308,2014,10,4,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2691,2016,12,29,0.0,0.0,60.0,6.0,1.0,0.0,0.0,0.0
819,2014,4,10,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2338,2013,10,5,15.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
615,2001,3,1,-0.3,8.8,264.0,31.4,0.0,0.0,1.0,0.0
307,2016,2,9,-1.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0
793,2015,4,6,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
603,2013,3,1,0.1,13.8,82.0,21.6,0.0,0.0,1.0,0.0
1592,1986,7,1,21.0,122.3,0.0,122.3,0.0,1.0,0.0,0.0
1124,1949,5,1,13.9,9.4,0.0,9.4,0.0,0.0,1.0,0.0
2506,2015,11,16,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1841,1998,8,1,21.7,26.8,0.0,26.8,0.0,1.0,0.0,0.0
2690,2016,12,30,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1332,1985,6,1,15.7,37.3,0.0,37.3,0.0,1.0,0.0,0.0
411,1974,2,1,-8.0,23.9,257.0,45.2,1.0,0.0,0.0,0.0
1211,2016,6,15,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1042,2014,5,18,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
28,2018,1,3,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1315,2002,6,1,19.1,59.6,0.0,59.6,0.0,1.0,0.0,0.0
1862,1977,8,1,18.0,103.3,0.0,103.3,0.0,1.0,0.0,0.0
1291,2013,6,25,25.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0
1784,2014,8,12,22.0,9.0,0.0,9.0,0.0,1.0,0.0,0.0
2569,2013,11,13,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1562,2013,7,4,24.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
1737,2015,8,28,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1238,2015,6,18,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1548,2013,7,18,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1929,2018,9,3,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1411,2017,7,31,24.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
1713,2016,8,21,22.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1580,1998,7,1,21.2,45.4,0.0,45.4,0.0,1.0,0.0,0.0
1189,2017,6,7,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
860,1982,4,1,4.7,39.4,46.0,43.1,0.0,0.0,1.0,0.0
180,1988,1,1,-4.5,16.9,48.0,21.5,1.0,0.0,0.0,0.0
1300,2013,6,16,21.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0
1040,2014,5,20,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1264,2014,6,22,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1481,2015,7,23,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2104,1990,9,1,15.3,42.8,0.0,42.8,0.0,0.0,0.0,1.0
65,2016,1,28,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
2685,2017,12,4,3.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0
494,2017,3,16,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2642,1952,11,1,4.6,90.7,0.0,90.7,0.0,0.0,0.0,1.0
2188,2017,10,31,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
829,2013,4,1,6.0,102.6,22.0,110.4,0.0,0.0,1.0,0.0
631,1985,3,1,0.3,45.6,286.0,78.6,0.0,0.0,1.0,0.0
1178,2017,6,18,24.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
2834,1991,12,1,-2.4,13.4,340.0,44.7,1.0,0.0,0.0,0.0
1888,1951,8,1,19.5,52.3,0.0,52.3,0.0,1.0,0.0,0.0
443,1942,2,1,-7.7,13.0,282.0,41.1,1.0,0.0,0.0,0.0
2699,2016,12,21,-4.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
2797,2013,12,16,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
827,2014,4,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1130,1943,5,1,12.1,104.4,0.0,104.4,0.0,0.0,1.0,0.0
48,2017,1,14,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2606,1988,11,1,4.5,58.1,0.0,58.1,0.0,0.0,0.0,1.0
2631,1963,11,1,6.2,65.0,5.0,65.5,0.0,0.0,0.0,1.0
2148,1946,9,1,16.3,73.7,0.0,73.7,0.0,0.0,0.0,1.0
598,2014,3,5,-10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1516,2014,7,19,19.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
1015,2015,5,14,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
591,2014,3,12,-6.0,0.0,90.0,8.0,0.0,0.0,1.0,0.0
951,2017,5,16,12.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2428,2018,11,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1194,2017,6,2,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2310,2014,10,2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2244,2016,10,6,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
210,1958,1,1,-5.1,0.0,251.0,25.1,1.0,0.0,0.0,0.0
2719,2016,12,1,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202,1966,1,1,-8.2,2.5,688.0,60.7,1.0,0.0,0.0,0.0
2127,1967,9,1,14.2,68.1,0.0,68.1,0.0,0.0,0.0,1.0
1459,2016,7,14,26.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
1255,2015,6,1,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1402,2018,7,9,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2687,2017,12,2,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1163,2018,6,3,18.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
2436,2017,11,26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2811,2013,12,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2195,2017,10,24,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
856,1986,4,1,7.6,51.6,22.0,54.0,0.0,0.0,1.0,0.0
6,2018,1,25,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1758,2015,8,7,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2392,1963,10,1,13.6,9.1,0.0,9.1,0.0,0.0,0.0,1.0
530,2016,3,11,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1340,1977,6,1,16.7,104.0,0.0,104.0,0.0,1.0,0.0,0.0
